/usr/local/lib/python3.10/dist-packages/google/api_core/_python_version_support.py:273: FutureWarning: You are using a Python version (3.10.12) which Google will stop supporting in new releases of google.api_core once it reaches its end of life (2026-10-04). Please upgrade to the latest Python version, or at least Python 3.11, to continue receiving updates for google.api_core past that date.
  warnings.warn(message, FutureWarning)
/usr/local/lib/python3.10/dist-packages/google/api_core/_python_version_support.py:273: FutureWarning: You are using a Python version (3.10.12) which Google will stop supporting in new releases of google.cloud.storage_control_v2 once it reaches its end of life (2026-10-04). Please upgrade to the latest Python version, or at least Python 3.11, to continue receiving updates for google.cloud.storage_control_v2 past that date.
  warnings.warn(message, FutureWarning)
frames_root: /datasets/ssv2/nips/frames_train
videos_to_process: 5000
first_video: 128758 | last_video: 135306
2026-04-26 15:54:23.856158: E external/local_xla/xla/stream_executor/cuda/cuda_dnn.cc:9261] Unable to register cuDNN factory: Attempting to register factory for plugin cuDNN when one has already been registered
2026-04-26 15:54:23.856201: E external/local_xla/xla/stream_executor/cuda/cuda_fft.cc:607] Unable to register cuFFT factory: Attempting to register factory for plugin cuFFT when one has already been registered
2026-04-26 15:54:23.857177: E external/local_xla/xla/stream_executor/cuda/cuda_blas.cc:1515] Unable to register cuBLAS factory: Attempting to register factory for plugin cuBLAS when one has already been registered
AttributeError: 'MessageFactory' object has no attribute 'GetPrototype'
AttributeError: 'MessageFactory' object has no attribute 'GetPrototype'
AttributeError: 'MessageFactory' object has no attribute 'GetPrototype'
AttributeError: 'MessageFactory' object has no attribute 'GetPrototype'
2026-04-26 15:54:24.653106: W tensorflow/compiler/tf2tensorrt/utils/py_utils.cc:38] TF-TRT Warning: Could not find TensorRT
AttributeError: 'MessageFactory' object has no attribute 'GetPrototype'
[1/5000] Wrote video_id=128758 | split=train | frames=34 | time=17.90s
[2/5000] Wrote video_id=128762 | split=train | frames=65 | time=13.80s
[3/5000] Wrote video_id=128763 | split=train | frames=33 | time=7.69s
[4/5000] Wrote video_id=128764 | split=train | frames=31 | time=7.66s
[5/5000] Wrote video_id=128765 | split=train | frames=57 | time=14.09s
[6/5000] Wrote video_id=128766 | split=train | frames=62 | time=15.02s
[7/5000] Wrote video_id=128767 | split=train | frames=31 | time=7.46s
[8/5000] Wrote video_id=128768 | split=train | frames=30 | time=5.78s
[9/5000] Wrote video_id=128769 | split=train | frames=32 | time=6.82s
[10/5000] Wrote video_id=128771 | split=train | frames=34 | time=8.01s
[11/5000] Wrote video_id=128772 | split=train | frames=40 | time=9.00s
[12/5000] Wrote video_id=128773 | split=train | frames=21 | time=5.27s
[13/5000] Wrote video_id=128774 | split=train | frames=46 | time=11.55s
[14/5000] Wrote video_id=128775 | split=train | frames=31 | time=7.15s
[15/5000] Wrote video_id=128776 | split=train | frames=37 | time=9.16s
[16/5000] Wrote video_id=128778 | split=train | frames=33 | time=8.10s
[17/5000] Wrote video_id=128779 | split=train | frames=23 | time=4.42s
[18/5000] Wrote video_id=128780 | split=train | frames=50 | time=11.26s
[19/5000] Wrote video_id=128781 | split=train | frames=25 | time=6.29s
[20/5000] Wrote video_id=128782 | split=train | frames=23 | time=4.70s
[21/5000] Wrote video_id=128783 | split=train | frames=59 | time=13.45s
[22/5000] Wrote video_id=128784 | split=train | frames=40 | time=9.60s
[23/5000] Wrote video_id=128785 | split=train | frames=45 | time=10.28s
[24/5000] Wrote video_id=128787 | split=train | frames=22 | time=5.46s
[25/5000] Wrote video_id=128788 | split=train | frames=61 | time=13.65s
[26/5000] Wrote video_id=128789 | split=train | frames=42 | time=9.81s
